X,Y,Color
3975,131559,"(1,0,0)"
3981,131530,"(1,0,0)"
3984,131509,"(1,0,0)"
3987,131438,"(1,0,0)"
3992,131325,"(1,0,0)"
3994,131241,"(1,0,0)"
3997,131039,"(1,0,0)"
4011,130875,"(1,0,0)"
4017,130848,"(1,0,0)"
4027,130798,"(1,0,0)"
4029,130714,"(1,0,0)"
4031,130655,"(1,0,0)"
4040,130624,"(1,0,0)"
4053,130531,"(1,0,0)"
4061,130410,"(1,0,0)"
4081,130391,"(1,0,0)"
4087,130350,"(1,0,0)"
4092,130276,"(1,0,0)"
4094,130224,"(1,0,0)"
4097,130204,"(1,0,0)"
4104,130185,"(1,0,0)"
4115,130180,"(1,0,0)"
4120,130110,"(1,0,0)"
4133,130060,"(1,0,0)"
4159,130031,"(1,0,0)"
4176,129973,"(1,0,0)"
4280,129972,"(1,0,0)"
